"","Y","Treatment","Pasture","CPNM","Sim.Type","observed","uncertainty","simulated"
"292",2015,"TRM","26E","CSPG","Spatial Variability",136.1,40.35,172.21
"293",2015,"TRM","26E","FORB","No Variability",539.98,77.55,238.24
"294",2015,"TRM","26E","FORB","Spatial Variability",539.98,77.55,289.03
"295",2015,"TRM","26E","WSPG","No Variability",399.74,24.41,469.79
"296",2015,"TRM","26E","WSPG","Spatial Variability",399.74,24.41,271.55
"297",2015,"TRM","31E","CSAG","Spatial Variability",13.83,170.76,4.12
"298",2015,"TRM","31E","CSAG","No Variability",13.83,170.76,0.24
"299",2015,"TRM","31E","CSPG","No Variability",280.87,29.54,134.62
"300",2015,"TRM","31E","CSPG","Spatial Variability",280.87,29.54,262.19
"301",2015,"TRM","31E","FORB","No Variability",302.26,61.48,77.88
"302",2015,"TRM","31E","FORB","Spatial Variability",302.26,61.48,218.6
"303",2015,"TRM","31E","WSPG","No Variability",1007.64,5.69,161.07
"304",2015,"TRM","31E","WSPG","Spatial Variability",1007.64,5.69,310.64
"305",2015,"TRM","5E","CSAG","Spatial Variability",2.29,200,0.35
"306",2015,"TRM","5E","CSAG","No Variability",2.29,200,0.35
"307",2015,"TRM","5E","CSPG","Spatial Variability",851.73,52.32,643.55
"308",2015,"TRM","5E","CSPG","No Variability",851.73,52.32,507.61
"309",2015,"TRM","5E","FORB","Spatial Variability",96.27,66.73,158.93
"310",2015,"TRM","5E","FORB","No Variability",96.27,66.73,92.86
"311",2015,"TRM","5E","WSPG","No Variability",652.02,35.81,325.42
"312",2015,"TRM","5E","WSPG","Spatial Variability",652.02,35.81,390.54
"313",2015,"TRM","7NW","CSAG","No Variability",42.14,207.91,15.56
"314",2015,"TRM","7NW","CSAG","Spatial Variability",42.14,207.91,13.36
"315",2015,"TRM","7NW","CSPG","No Variability",324.28,131.45,383.53
"316",2015,"TRM","7NW","CSPG","Spatial Variability",324.28,131.45,363.72
"317",2015,"TRM","7NW","FORB","No Variability",139.58,175.59,104.25
"318",2015,"TRM","7NW","FORB","Spatial Variability",139.58,175.59,222.74
"319",2015,"TRM","7NW","WSPG","No Variability",623.18,28.98,349.21
"320",2015,"TRM","7NW","WSPG","Spatial Variability",623.18,28.98,358.54
"321",2016,"CARM","10S","CSAG","Spatial Variability",346.84,52.05,11.46
"322",2016,"CARM","10S","CSAG","No Variability",346.84,52.05,8.38
"323",2016,"CARM","10S","CSPG","No Variability",210.3,58.58,166.36
"324",2016,"CARM","10S","CSPG","Spatial Variability",210.3,58.58,127.92
"325",2016,"CARM","10S","FORB","Spatial Variability",52.2,73.03,33.51
"326",2016,"CARM","10S","FORB","No Variability",52.2,73.03,53.26
"327",2016,"CARM","10S","WSPG","No Variability",277.14,23.87,138.73
"328",2016,"CARM","10S","WSPG","Spatial Variability",277.14,23.87,132.01
"329",2016,"CARM","17S","CSAG","Spatial Variability",154.37,134.52,17.84
"330",2016,"CARM","17S","CSAG","No Variability",154.37,134.52,13.64
"331",2016,"CARM","17S","CSPG","No Variability",422.6,114.22,211.61
"332",2016,"CARM","17S","CSPG","Spatial Variability",422.6,114.22,262.43
"333",2016,"CARM","17S","FORB","Spatial Variability",39.09,104.07,24.1
"334",2016,"CARM","17S","FORB","No Variability",39.09,104.07,18.35
"335",2016,"CARM","17S","WSPG","Spatial Variability",351.76,79.43,84.94
"336",2016,"CARM","17S","WSPG","No Variability",351.76,79.43,98.82
"337",2016,"CARM","18S","CSAG","No Variability",36.67,107.88,4.27
"338",2016,"CARM","18S","CSAG","Spatial Variability",36.67,107.88,4.05
"339",2016,"CARM","18S","CSPG","No Variability",826.47,35.47,612.86
"340",2016,"CARM","18S","CSPG","Spatial Variability",826.47,35.47,538.5
"341",2016,"CARM","18S","FORB","Spatial Variability",33.24,84.98,43.57
"342",2016,"CARM","18S","FORB","No Variability",33.24,84.98,28.39
"343",2016,"CARM","18S","WSPG","No Variability",127.65,21.99,87.31
"344",2016,"CARM","18S","WSPG","Spatial Variability",127.65,21.99,96.19
"345",2016,"CARM","20NW","CSAG","Spatial Variability",121.81,189.94,7.76
"346",2016,"CARM","20NW","CSAG","No Variability",121.81,189.94,5.91
"347",2016,"CARM","20NW","CSPG","Spatial Variability",718.13,55.56,408.74
"348",2016,"CARM","20NW","CSPG","No Variability",718.13,55.56,730.81
"349",2016,"CARM","20NW","FORB","Spatial Variability",65.28,102.01,28.06
"350",2016,"CARM","20NW","FORB","No Variability",65.28,102.01,25.12
"351",2016,"CARM","20NW","WSPG","No Variability",315.04,52.32,110.66
"352",2016,"CARM","20NW","WSPG","Spatial Variability",315.04,52.32,88.21
"353",2016,"CARM","21N","CSAG","Spatial Variability",95.1,58.12,15.09
"354",2016,"CARM","21N","CSAG","No Variability",95.1,58.12,18.32
"355",2016,"CARM","21N","CSPG","No Variability",244.84,79.95,346.16
"356",2016,"CARM","21N","CSPG","Spatial Variability",244.84,79.95,132.73
"357",2016,"CARM","21N","FORB","No Variability",78.98,95.38,64.83
"358",2016,"CARM","21N","FORB","Spatial Variability",78.98,95.38,43.66
"359",2016,"CARM","21N","WSPG","No Variability",417.3,33.64,234.72
"360",2016,"CARM","21N","WSPG","Spatial Variability",417.3,33.64,180.36
"361",2016,"CARM","25NW","CSAG","Spatial Variability",325.04,50.62,26.62
"362",2016,"CARM","25NW","CSAG","No Variability",325.04,50.62,54.77
"363",2016,"CARM","25NW","CSPG","No Variability",187.9,58.12,258.02
"364",2016,"CARM","25NW","CSPG","Spatial Variability",187.9,58.12,118.24
"365",2016,"CARM","25NW","FORB","No Variability",27.04,51.51,41.06
"366",2016,"CARM","25NW","FORB","Spatial Variability",27.04,51.51,28.33
"367",2016,"CARM","25NW","WSPG","No Variability",321.4,36,217.88
"368",2016,"CARM","25NW","WSPG","Spatial Variability",321.4,36,129.55
